route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
DEMO_LINE,WEEKDAY,OUT_001,夕凪,0,DEMO_OUTBOUND
DEMO_LINE,WEEKDAY,OUT_002,夕凪,0,DEMO_OUTBOUND
DEMO_LINE,WEEKDAY,OUT_003,夕凪,0,DEMO_OUTBOUND
DEMO_LINE,WEEKDAY,OUT_004,夕凪,0,DEMO_OUTBOUND
DEMO_LINE,WEEKDAY,OUT_005,夕凪,0,DEMO_OUTBOUND
DEMO_LINE,WEEKDAY,OUT_NIGHT,夕凪,0,DEMO_OUTBOUND
DEMO_LINE,WEEKDAY,IN_001,朝日,1,DEMO_INBOUND
DEMO_LINE,WEEKDAY,IN_002,朝日,1,DEMO_INBOUND
DEMO_LINE,WEEKDAY,IN_003,朝日,1,DEMO_INBOUND
DEMO_LINE,WEEKDAY,IN_004,朝日,1,DEMO_INBOUND
DEMO_LINE,WEEKDAY,IN_005,朝日,1,DEMO_INBOUND
DEMO_LINE,WEEKDAY,IN_006,朝日,1,DEMO_INBOUND
